INDUSTRY,YEAR,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,RACE_2,RACE_3,RACE_4,RACE_5,INCOME,GENDER,ZIPCODE
3003.0,2015.0,6.0,7.0,4.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,0.0,,6.0,26.0,,48.0,4.0,0.0,1.0,,,,,7.0,2.0,14618
3003.0,2015.0,,,1.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,,,8.0,26.0,,23.0,4.0,1.0,4.0,,,,,5.0,2.0,59044
3003.0,2015.0,4.0,1.0,1.0,4.0,5.0,5.0,6.0,3.0,5.0,5.0,5.0,0.0,,5.0,,25.0,40.0,4.0,0.0,4.0,,,,,7.0,1.0,94804
3003.0,2015.0,6.0,5.0,5.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,1.0,4.0,7.0,15.0,,35.0,4.0,0.0,1.0,,,,,7.0,2.0,75035
3003.0,2015.0,10.0,5.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,0.0,,10.0,,,19.0,3.0,0.0,1.0,,,,,3.0,2.0,99336
3003.0,2015.0,4.0,3.0,3.0,5.0,7.0,2.0,5.0,5.0,4.0,4.0,4.0,0.0,,8.0,5.0,,39.0,5.0,0.0,1.0,,,,,7.0,1.0,02155
3003.0,2015.0,4.0,3.0,7.0,5.0,4.0,7.0,4.0,4.0,9.0,4.0,7.0,0.0,,4.0,,26.0,27.0,3.0,0.0,2.0,,,,,3.0,2.0,32923
3003.0,2015.0,6.0,6.0,4.0,7.0,5.0,3.0,7.0,6.0,6.0,5.0,7.0,0.0,,6.0,20.0,,39.0,4.0,0.0,1.0,,,,,7.0,1.0,97405
3003.0,2015.0,5.0,5.0,3.0,5.0,6.0,7.0,7.0,8.0,8.0,4.0,5.0,0.0,,2.0,,26.0,24.0,5.0,0.0,4.0,,,,,7.0,2.0,07747
3003.0,2015.0,4.0,4.0,4.0,7.0,7.0,8.0,3.0,2.0,3.0,5.0,5.0,,,5.0,,,31.0,5.0,0.0,1.0,,,,,4.0,2.0,24450
3003.0,2015.0,6.0,5.0,4.0,7.0,5.0,7.0,7.0,6.0,6.0,2.0,2.0,1.0,2.0,6.0,5.0,,53.0,5.0,1.0,1.0,,,,,7.0,1.0,22152
3003.0,2015.0,4.0,4.0,1.0,2.0,3.0,4.0,6.0,1.0,4.0,4.0,2.0,0.0,,5.0,,5.0,36.0,5.0,0.0,1.0,,,,,7.0,1.0,15632
